Mã_Tin,Hãng_Xe,Dòng_Xe,Tên_Xe,Giá_Triệu_VNĐ,Giá_Gốc,Năm sản xuất,Tình trạng,Odo_Km,Xuất xứ,Động cơ,Hộp số,Màu ngoại thất,Số chỗ ngồi,Dẫn động,URL,Kiểu dáng,Màu nội thất,Số cửa,Mô_Tả
6607869,Audi,Khác,Audi A5 Sportback 2.0 2017,890,890 Triệu,2017,Xe đã dùng,0.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-a5-sportback-2.0-2017-6607869,Sedan,Đen,4 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe MộcAudi A5 Sportback APEC sx 2017 đki 2018. Phom dáng thể thao cực kì đẹp. Bảo dưỡng full cực chất | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
5915634,Audi,Khác,Audi A1 1.4 TFSI 2010,339,339 Triệu,2010,Xe đã dùng,120000.0,Nhập khẩu,Xăng 1.4 L,Số tự động,Trắng,4 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-a1-1.4-tfsi-2010-5915634,Hatchback,Nâu,3 cửa,"| | AUTO CHỐT HÀ NỘI mới về chào bán ngay | | Nhập Team Nguyên Xe Mộc Audi A1 sản xuất 2010 , ngoại thất trắng nội thất nâu da bò , xe đã bảo dưỡng đầy đủ - odo 12vạn km . Đã được chủ cũ nâng cấp : màn hình , lazang …. xe rất mới …xe đẹp hết nước chấm , ACE TỰ TIN CỌC ONLINE . | | ACE kết nối có khách cùng bán.Thank’s! | | Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe. | | | |"
6527962,Audi,Khác,Audi Q7 45 TFSI Quattro 2023,2879,2 Tỷ 879 Triệu,2023,Xe đã dùng,32000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q7-45-tfsi-quattro-2023-6527962,SUV,Nâu,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q7 45 TFSI Quattro 2.0 sản xuất 2023 xe chạy 2vạn miles xe đẹp không lỗi nhỏ | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6664982,Audi,Khác,Audi Q2 1.4 TFSI 2018,699,699 Triệu,2018,Xe đã dùng,96000.0,Nhập khẩu,Xăng 1.4 L,Số tự động,Vàng,5 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-q2-1.4-tfsi-2018-6664982,Crossover,Đen,5 cửa,"| | Audi Q2 TFSI sản xuất 2018 lăn bánh 6 Vạn Miles | - Tình trạng xe mộc mạc đã đẹp, vẫn còn 1 bước Spa | - Máy êm, bảo dưỡng đầy đủ các mốc | - Nhập khẩu nguyên chiếc Germany | | Cam kết văn bản xe không đâm đụng, không ngập nước. Check test thoải mái xe rất đẹp ạ | | Audi Q2 2018 hướng đến đối tượng khách hàng trẻ trong phân khúc SUV đô thị, thiết kế góc cạnh và sang trọng rất riêng của thương hiệu xe hạng sang đến từ Đức. | | Thông sỗ kỹ thuật: | - Động cơ 1.4 TFSI công suất 150Hp, tiêu thụ 5,4L/100km vận hành êm du, tiết kiệm. | - 10 Loa tiêu chuẩn Audi gồm loa siêu trầm và âm li | - Màn hình giải trí, cốp điện, mâm 17 ing, ... | | Liên hệ xem xe, lái thử trực tiếp tại | | H AUTO CHẤT NHƯ MỚI | | Địa chỉ : Số 9 Mai Chí Thọ, Long Biên, Hà Nội | | #Hauto #ChatNhuMoi #AudiQ2 #Q2_2018 #audiq2 | | | |"
6435422,Audi,Khác,Audi Q5 Sportback Sline 45 TFSI Quattro 2021,1678,1 Tỷ 678 Triệu,2021,Xe đã dùng,30000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-sportback-sline-45-tfsi-quattro-2021-6435422,SUV,Xám,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 Sportback Sline 45 TFSI Quattro Sx: 2021 đăng kí lần đầu 2022 Màu Xanh / nội thất ghi xám cực đẹp 1 chủ từ đầu chạy hơn 3vạnkm bảo dưỡng full lịch sử hãng cực mới...xe đẹp tuyệt đối | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6433547,Audi,Khác,Audi TT 2.0 TFSI 2015,1088,1 Tỷ 88 Triệu,2015,Xe đã dùng,96000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,4 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-tt-2.0-tfsi-2015-6433547,Coupe,Xám,2 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi TT 2.0 TFSI sản xuất 2015, lăn bánh hơn 96.000km. Độ hơn 600tr đồ chơi chính hãng đồ zin còn đủ | | Option: màn hình bản RS , Vô Lăng , Vành OZ xịn , full heo brembo 6 con , cánh gió carbon , lip carbon full trc sau , lắp cabo carbon , pô on off ,xe đã đc remap lên gần 300 mã , 4 phuộc độ.....siêu mới như trong hãng không lỗi nhỏ | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6688204,Audi,Khác,Audi Q5 2.0 AT 2014,555,555 Triệu,2014,Xe đã dùng,130000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-2.0-at-2014-6688204,SUV,Đen,5 cửa,"| | Audi Q5 2.0AT – SX 2014 | 1 chủ mua từ mới, odo 13 vạn km – xe giữ gìn kỹ | Zin nguyên bản, vận hành êm ái – hình thức còn rất đẹp | | Cam kết: | ✓ Xe zin 100%, không đâm va | ✓ Không ngập nước | ✓ Hồ sơ pháp lý rõ ràng – sang tên nhanh | | Xe đẹp xuất sắc, xem xe là ưng ngay! | | | |"
6251519,Audi,Khác,Audi Q5 2.0 AT 2018,1299,1 Tỷ 299 Triệu,2018,Xe đã dùng,40000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-audi-q5-2.0-at-2018-6251519,SUV,Đen,5 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 Quattro 2.0 Sx 2018 xe chạy 4vạnmiles Bảo dưỡng đầy đủ, phủ ceramic sạch sẽ tinh tươm ....Đẹp từ trong ra ngoài ACE TỰ TIN CỌC ONLINE . | | Hỗ trợ trả góp lên tới 70% giá trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6627566,Audi,Khác,Audi TT 2.0 TFSI 2015,939,939 Triệu,2015,Xe đã dùng,65000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,4 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-tt-2.0-tfsi-2015-6627566,Coupe,Đen,2 cửa,"| | AUDI TT Up TTS – Model 2016 | • Màu xanh – Nội thất đen | • Động cơ 2.0L – ~300HP – Hộp số 8 cấp | • Xe độ full TTS, ngoại hình thể thao – chạy cực phê | | Option nổi bật: | • Bodykit TTS | • Carbon: lip lườn – cảng trước/sau – đuôi gió | • Mâm CNC HRE – Phanh Brembo | • Pô downpipe on/off | • Vô lăng carbon + Start/Stop | • Intake + remap ~300HP | • Cam 360 – Âm thanh nâng cấp – Sub điện | | Hồng Phúc Auto cam kết: | ✓ Xe đẹp – Không lỗi – Điện & điều khiển hoàn hảo | ✓ Pháp lý sạch – Không tranh chấp / phạt nguội | ✓ Giao lưu – Thu mua xe cũ giá cao (Có hoa hồng) | | | |"
6599034,Audi,Khác,Audi TT 2.0 TFSI 2015,979,979 Triệu,2015,Xe đã dùng,86000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xám,4 chỗ,FWD - Dẫn động cầu trước,https://bonbanh.com/xe-audi-tt-2.0-tfsi-2015-6599034,Coupe,Đỏ,2 cửa,"| | Bán Audi TT mode 2016 xe nhập | Xe đi được 8v6 km chuẩn có thể test bất kì đâu | Máy số zin 100%, lên đc ít đồ chính hãng | Po on off nghe bao phê | Kiếm 1 chiếc xe zin từ A_Z thế này khá hiếm nha | Chuẩn bảo dưỡng từng km | Alo xem xe | | | |"
6483341,Bentley,Khác,Bentley Flying Spur First Edition W12 2022,12500,12 Tỷ 500 Triệu,2022,Xe đã dùng,9000.0,Nhập khẩu,Xăng 6.0 L,Số tự động,Trắng,5 chỗ,RFD - Dẫn động cầu sau,https://bonbanh.com/xe-bentley-flying_spur-first-edition-w12-2022-6483341,Sedan,Kem,4 cửa,| | Bán Benley Flying spur 2022 siêu lướt 9.000km hỗ trợ vay bank 70% ae có nhu cầu call | | | |
6251282,Bentley,Khác,Bentley Flying Spur 6.0 V8 2007,2300,2 Tỷ 300 Triệu,2007,Xe đã dùng,16000.0,Nhập khẩu,Xăng 6.0 L,Số tự động,Trắng,5 chỗ,RFD - Dẫn động cầu sau,https://bonbanh.com/xe-bentley-flying_spur-6.0-v8-2007-6251282,Sedan,Nâu,4 cửa,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Bentley Continental Flying Spur V6 sản xuất 2007 xe chạy hơn 1vạn miles siêu lướt 1 viên, duy nhất tại Việt Nam Độc nhất lạ vs Mansory (gói độ trứ danh cá nhân hoá ) dành cho xe siêu sang ...Đẹp từ trong ra ngoài ACE TỰ TIN CỌC ONLINE . | | Hỗ trợ trả góp lên tới 70% giá trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |"
6491871,Bentley,Khác,Bentley Flying Spur W12 S 2016,5999,5 Tỷ 999 Triệu,2016,Xe đã dùng,80000.0,Nhập khẩu,Xăng 6.0 L,Số tự động,Xanh,5 chỗ,RFD - Dẫn động cầu sau,https://bonbanh.com/xe-bentley-flying_spur-w12-s-2016-6491871,Sedan,Nâu,4 cửa,| | Xe dân gửi bán có hỗ trợ bank | Xe lên gói Mulliner đẹp và cự kì sang trọng | Bao test toàn quốc | | | |
6553063,Bentley,Khác,Bentley Continental GT 2004,1599,1 Tỷ 599 Triệu,2004,Xe đã dùng,0.0,Nhập khẩu,Xăng 6.0 L,Số tự động,Trắng,4 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-bentley-continental-gt-2004-6553063,Coupe,Nâu,2 cửa,| | Hàng sưu tầm phục vụ ACE. Chạy phố hết bài luôn... | Bentley Continental GTC 6.0L W12... Giá siêu yêu luôn nhé | | | |
6520338,Bentley,Khác,Bentley Continental GT Speed 2013,3199,3 Tỷ 199 Triệu,2013,Xe đã dùng,14000.0,Nhập khẩu,Xăng 6.0 L,Số tự động,Trắng,4 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-bentley-continental-gt-speed-2013-6520338,Coupe,Kem,2 cửa,"| | BENTLEY CONTINENTAL GT COUPE – ĐỈNH CAO QUÝ TỘC, SANG TRỌNG VƯỢT THỜI GIAN | | Bentley – Biểu tượng của quyền lực & đẳng cấp, nơi tinh hoa chế tác thủ công Anh Quốc hội tụ. | | Năm sản xuất: 2013 | Odo cực ít: Chỉ 14.000 km – Xe gần như mới! | Màu sắc: Trắng cát tinh tế – Nội thất da Nâu sang trọng | Động cơ: W12 Twin-Turbo 6.0L – Công suất 567HP – Hộp số ZF 7 cấp | | Thiết kế quý phái - Nội thất đỉnh cao | | ✓ Kiểu dáng coupe thể thao, sang trọng, chuẩn phong cách hoàng gia Anh | ✓ Nội thất bọc da cao cấp, chế tác thủ công, đậm chất Bentley | ✓ Cửa hít sang trọng, nâng tầm đẳng cấp | ✓ Cốp điện tiện lợi, tối ưu hóa trải nghiệm sử dụng | ✓ Lazang hợp kim 20 inch, mang đến vẻ bề thế và mạnh mẽ | | Hiệu suất vượt trội - Cảm giác lái đầy cảm hứng | | Động cơ W12 Twin-Turbo 6.0L mạnh mẽ, công suất 567HP | Hộp số ZF 7 cấp, sang số mượt mà, tối ưu hiệu suất | Tăng tốc từ 0-100 km/h chỉ trong 4.6 giây – Đẳng cấp siêu xe! | Tốc độ tối đa 318 km/h, uy lực bùng nổ trên mọi cung đường | Hệ thống treo khí nén, mang lại cảm giác lái êm ái như du thuyền trên mặt đất | Ghế chỉnh điện tích hợp sưởi & làm mát, đem lại sự thoải mái tối đa | | CÔNG NGHỆ HIỆN ĐẠI – TIỆN NGHI ĐỈNH CAO | | ✓ Nút đề Start/Stop, khởi động nhanh chóng, tiện lợi | ✓ Hệ thống giải trí màn hình 8 inch, kết nối Bluetooth, AM/FM, CD | ✓ Âm thanh vòm cao cấp, mang đến trải nghiệm nghe nhạc tuyệt đỉnh | ✓ Trang bị hệ thống an toàn & hỗ trợ lái thông minh, đảm bảo sự an tâm tuyệt đối | | HỒNG PHÚC AUTO CAM KẾT CHẤT LƯỢNG TUYỆT ĐỐI | | ✓ Xe không tai nạn – Không ngập nước – Không cháy nổ | ✓ Hệ thống điện và điều khiển nguyên bản – Không lỗi | ✓ Pháp lý minh bạch – Không tranh chấp – Không phạt nguội | ✓ Hỗ trợ trao đổi – giao lưu xe linh hoạt | ✓ Nhận thu mua xe cũ giá cao nhất thị trường – Hoa hồng hấp dẫn cho người giới thiệu | | Địa chỉ: Auto C5/15B Phạm Hùng, Quận 8 | Hotline: | | BENTLEY CONTINENTAL GT – Siêu phẩm đẳng cấp, dành cho những ai thực sự hiểu giá trị của sự hoàn hảo! | | | |"
6649562,Bentley,Khác,Bentley Continental GTC 2007,2299,2 Tỷ 299 Triệu,2007,Xe đã dùng,52000.0,Nhập khẩu,Xăng 6.0 L,Số tự động,Trắng,4 chỗ,AWD - 4 bánh toàn thời gian,https://bonbanh.com/xe-bentley-continental-gtc-2007-6649562,Convertible/Cabriolet,Kem,2 cửa,"| | Bentley Continental GTC 2008 – Biểu tượng của sự sang trọng và hiệu suất | | Giá bán tại Hồng Phúc Auto | | Thông tin chi tiết: | • Màu sắc: Ngoại thất trắng tinh khôi kết hợp nội thất da màu kem thanh lịch. | • Năm sản xuất: 2007 | • Động cơ: W12 6.0L tăng áp kép, sản sinh công suất 552 mã lực, cho phép tăng tốc từ 0-100 km/h trong khoảng 5,1 giây. | | Trang bị và nâng cấp đáng chú ý: | • Mui xếp mềm: Trải nghiệm cảm giác lái mui trần đẳng cấp. | • Đèn pha hiện đại: Nâng cấp cải thiện tầm nhìn và thẩm mỹ. | • Màn hình giải trí Tesla: Giao diện trực quan, dễ sử dụng. | • Hệ thống âm thanh cao cấp kèm loa sub: Mang đến âm thanh sống động. | • Đèn nội thất LED: Tạo không gian sang trọng và ấm cúng. | • Hệ thống ống xả on/off: Tuỳ chỉnh âm thanh động cơ theo sở thích. | • Mâm xe 21 inch: Tăng thêm vẻ thể thao và mạnh mẽ. | • Đèn hậu LED và cần số thiết kế mới: Nâng cao thẩm mỹ và trải nghiệm lái. | | Cam kết từ Hồng Phúc Auto: | • Mua bán và trao đổi xe linh hoạt: Đáp ứng mọi nhu cầu của khách hàng. | • Thu mua xe cũ với giá cao: Đảm bảo giá tốt nhất thị trường, kèm hoa hồng hấp dẫn cho người giới thiệu. | | | Đừng bỏ lỡ cơ hội sở hữu chiếc Bentley Continental GTC đẳng cấp này! Liên hệ với chúng tôi để trải nghiệm và cảm nhận sự khác biệt. | | | |"
