Mã_Tin,Hãng_Xe,Dòng_Xe,Tên_Xe,Giá_Triệu_VNĐ,Giá_Gốc,Năm sản xuất,Tình trạng,Odo_Km,Xuất xứ,Động cơ,Hộp số,Màu ngoại thất,Số chỗ ngồi,Số cửa,Dẫn động,Tỉnh_Thành,Người_Bán,Điện_Thoại,Địa_Chỉ_Chi_Tiết,Website,Mô_Tả,URL,Kiểu dáng,Màu nội thất
6251519,Audi,Q5,Audi Q5 2.0 AT 2018,1299,1 Tỷ 299 Triệu,2018,Xe đã dùng,40000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Auto Chốt,0856 616 666,"3 Căn VILLA 05 - 06 - 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy ( Cạnh Công Viên Yên Hoà ) Hà Nội",autochot.bonbanh.com,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 Quattro 2.0 Sx 2018 xe chạy 4vạnmiles Bảo dưỡng đầy đủ, phủ ceramic sạch sẽ tinh tươm ....Đẹp từ trong ra ngoài ACE TỰ TIN CỌC ONLINE . | | Hỗ trợ trả góp lên tới 70% giá trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |",https://bonbanh.com/xe-audi-q5-2.0-at-2018-6251519,SUV,Đen
6638130,Audi,Q5,Audi Q5 Sline 45 TFSI Quattro 2022,1580,1 Tỷ 580 Triệu,2022,Xe đã dùng,36000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,TP HCM,Salon Auto Minh Luân,0906 646 464,"812A Quang Trung, P.8, Q.Gò Vấp TP HCM",autominhluan.bonbanh.com,"| | Audi Q5 Sline 45TFSI Quattro Model 2022, đăng ký mua mới một chủ 6/2022. | - Lăn bánh được 36.000 km, bảo dưỡng chính hãng đầy đủ lịch sử. Dán keo ppf nguyên xe. | - Body Sline,mâm 19 ""(bản đặc biệt nhiều options) | - Ghế Sline,Da Alcantara , cửa hích, trần sao, camera hành trình. | - HUD, Tự de, loa B&O, màn hình Audi Vitual Cockpit, Apple carplay, Đèn Ambient light, Matrix Led, Cốp điện,..... | _. | Auto Minh Luân cam kết: | - Đảm bảo không tai nạn ngập nước, | - Máy móc nguyên zin, | - Tình trạng xe còn rất mới 90/100. | _. | - Hỗ trợ khách hàng làm thủ tục vay trả góp ngân hàng lãi suất thấp. | - Quý khách quan tâm vui lòng liên hệ MINH LUAN AUTO để biết thêm thông tin chi tiết. | | | |",https://bonbanh.com/xe-audi-q5-sline-45-tfsi-quattro-2022-6638130,SUV,Nâu
6640782,Audi,Q5,Audi Q5 2.0 AT 2018,1199,1 Tỷ 199 Triệu,2018,Xe đã dùng,65000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,T - Luxury Car,0949 367 777,"126, Khuất Duy Tiến, P. Nhân Chính, Q. Thanh Xuân Hà Nội",t-luxurycar.bonbanh.com,"| | Xe chính chủ đã rút hồ sơ. Xe đi cực ít mỗi năm chỉ đi hơn 8000km. Xe đã thay thế hết các chi tiết hao mòn. Check test xe thoải mái | Cam kết không đâm đụng, ngập nước, tua Odo | Xe đang ở Hà Nội, xem xe tại 126 Khuất Duy Tiến | | | |",https://bonbanh.com/xe-audi-q5-2.0-at-2018-6640782,SUV,Đen
6477134,Audi,Q5,Audi Q5 45 TFSI Quattro 2021,1555,1 Tỷ 555 Triệu,2021,Xe đã dùng,38000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Minh Long Auto,0921 619 999,"199 Nguyễn Xiển, Thanh Xuân Hà Nội",minhlongauto.bonbanh.com,"| | Audi Q5 sx 2021 | 3V8 Km zin | -Options: Động cơ 2.0l, hộp số 7 cấp, ghế da phối nỉ cao cấp chỉnh điện đa hướng, loa cao cấp, đèn pha matrix led thông minh, màn hình giải trí, điều hòa đa vùng, cam 360, nội thất bọc da ốp gỗ cao cấp ... | | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | | Liên hệ để biết thêm thông tin xe | | | |",https://bonbanh.com/xe-audi-q5-45-tfsi-quattro-2021-6477134,SUV,Đen
6635088,Audi,Q5,Audi Q5 Sportback Sline 45 TFSI Quattro 2021,1666,1 Tỷ 666 Triệu,2021,Xe đã dùng,9999.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Nguyễn Thường,0876 566 666,"Số 166 Khuất Duy Tiến, Thanh Xuân Hà Nội Xem gian hàng ⇨",,"| | Audi Q5 sx 2021, đi chuẩn 1,6 vạn km, xe ko 1 lỗi nhỏ | Hỗ trợ bank 70%, hỗ trợ biển đẹp định danh | Bao sang tên luôn cho Khách | | | |",https://bonbanh.com/xe-audi-q5-sportback-sline-45-tfsi-quattro-2021-6635088,SUV,Ghi
6427658,Audi,Q5,Audi Q5 Sline 45 TFSI Quattro 2024,2199,2 Tỷ 199 Triệu,2024,Xe mới,,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Audi Miền Bắc,0989 731 688,Số 8 Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm Hà Nội,audimienbac.bonbanh.com,"| | Audi Miền Bắc mới về Audi Q5 Sportback | | Trang bị: động cơ xăng 2.0L tăng áp, kết hợp hệ thống mild hybrid 12V, hộp số tự động 7 cấp S tronic và hệ dẫn động bốn bánh quattro. Xe sở hữu các tiện nghi như màn hình giải trí 10,1 inch, màn hình đồng hồ kỹ thuật số 12,3 inch (tùy phiên bản), hệ thống điều hòa tự động 3 vùng, và các tính năng an toàn như camera 360 độ, hỗ trợ đỗ xe tự động, và kiểm soát hành trình thích ứng | | Liên hệ ngay Audi Miền Bắc để biết thêm thông tin xe cũng như chương trình ưu đãi tháng này! | | | |",https://bonbanh.com/xe-audi-q5-sline-45-tfsi-quattro-2024-6427658,SUV,-
6581848,Audi,Q5,Audi Q5 Sline 45 TFSI Quattro 2024,1890,1 Tỷ 890 Triệu,2024,Xe đã dùng,0.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Sàn Ô tô Thủ Đô,0989 980 380,"26 Xuân Tảo - Nghĩa Đô, Cầu Giấy Hà Nội",sanotothudo.bonbanh.com,"| | Audi Q5 Sline 45TFSI Quattro sx 2024 đk 2025 chạy 2vkm | *Body Sline,mâm 19 "" | *Ghế Sline,Da Alcantara | *HUD,Tự de,loa B&O,màng Hình Audi Vitual Cockpit,Apple carplay,Đèn Ambient light,Matrix Led,Cốp điện,... | | | |",https://bonbanh.com/xe-audi-q5-sline-45-tfsi-quattro-2024-6581848,SUV,Đen
5865544,Audi,Q5,Audi Q5 Sportback Sline 45 TFSI Quattro 2025,2420,2 Tỷ 420 Triệu,2025,Xe mới,,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Audi Miền Bắc,0989 731 688,Số 8 Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm Hà Nội,audimienbac.bonbanh.com,"| | ƯU ĐÃI LÊN ĐẾN 319 TRỆU ĐỒNG khi sở hữu Audi Q5 2025 | | Audi Miền Bắc mới về Audi Q5 Sportback 2025 | | Điểm nhấn đầu xe là cụm lưới tản nhiệt họa tiết tổ ong mới, đèn chiếu sáng LED Matrix với họa tiết đẹp mắt. Ngoài ra, xe còn có ngoại thất màu xanh Ultra giống mẫu sedan A8L đầu bảng của hãng. Cuối cùng, Audi Q5 Sportback 2024 trang bị bộ mâm 19 inch 5 chấu kép màu bạc đi kèm bộ mâm 235/55 R19. | | Liên hệ ngay Audi Miền Bắc để biết thêm thông tin xe cũng như chương trình ưu đãi tháng này! | | | |",https://bonbanh.com/xe-audi-q5-sportback-sline-45-tfsi-quattro-2025-5865544,SUV,Đen
6484759,Audi,Q5,Audi Q5 Sline 45 TFSI Quattro 2022,1699,1 Tỷ 699 Triệu,2022,Xe đã dùng,41600.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Hùng Lâm Kho Xe Lướt,0986 681 268,"Số 16, Phố Hoàng Minh Đạo, P. Bồ Đề, Q. Long Biên Hà Nội",khoxeluot.bonbanh.com,"| | AUDI Q5 S-LINE 45 TFSI QUATTRO 2023 | ✓ Đăng ký lần đầu 12/2023, sản xuất 2022. | ✓ Lăn bánh đầu năm 2024. | ✓ Ngoại thất Đen/ nội thất Đen. | ✓ Nhập khẩu nguyên chiếc. | ✓ Trang bị thêm cảm biến áp suất lốp. | ✓ Cần số pha lê. | ✓ Odo 26.000 Miles. | | Bản Q5 TFSI QUATTRO đèn Matrix Led trứ danh, trang bị động cơ dung tích 2.0L tăng áp 4 xi lanh thẳng hàng phun xăng trực tiếp và công nghệ Audi Valvelift System, cho công suất tối đa 252 mã lực từ 5.000 - 6.000 vòng/phút, và mô-men xoắn cực đại 370Nm từ 1.600 - 4.500 vòng/phút. | | Hộp số tự động 7 cấp S-tronic và hệ thống truyền động bốn bánh toàn thời gian quattro giúp xe có khả năng tăng tốc từ 0 - 100 km/h trong 6,3 giây và tốc độ tối đa giới hạn ở 237 km/h. | | ⚙️ Tính năng hỗ trợ vận hành như: | Hệ thống lái trợ lực cơ điện. | Tái tạo năng lượng từ phanh. | Phanh tay cơ điện. | Hệ thống lựa chọn chế độ lái Audi. | Hệ thống giảm xóc năng động. | Hệ thống giải trí đa phương tiện MMI radio plus, điều khiển bằng giọng nói, kết nối iPod, AUX, USB và Bluetooth. | Hệ thống âm thanh Bang & Olufsen 16 kênh với 19 loa cho công suất lên đến 755W. | Điều hòa không khí tự động 3 vùng độc lập, với cửa gió cho hàng ghế sau cùng khả năng làm mát còn được tăng cường với kính chắn gió cách âm, cách nhiệt và màn che nắng cho hai cửa bên phía sau. | Hệ thống Start-stop với chìa khoá thông minh Smartkey. | Gương chiếu hậu bên trong trang viền và chống chói tự động. | | ⚙️ Hệ thống an toàn hiện đại: | Camera 360 độ. | Hệ thống đỗ xe plus với hiển thị trực quan âm thanh và hình ảnh. | Hệ thống túi khí tiêu chuẩn trước và sau. | Bánh xe dự phòng tiết kiệm diện tích. | Hệ thống chống bó cứng phanh ABS. | Hệ thống phân bổ lực phanh điện tử EBD. | Hỗ trợ lực phanh khẩn cấp BAS. | Hệ thống cân bằng điện tử ESP. | Hệ thống cảnh báo chống trộm. | | | |",https://bonbanh.com/xe-audi-q5-sline-45-tfsi-quattro-2022-6484759,SUV,Đen
6654739,Audi,Q5,Audi Q5 2.0 AT 2017,965,965 Triệu,2017,Xe đã dùng,63000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Auto Vượng Phương,0932 835 678,Số 2 Trần Hữu Dực - Mỹ Đình Hà Nội,autovuongphuong.bonbanh.com,"| | - Bán xe Audi Q5 2.0AT Bản Spotr nhập khẩu Mexico sản xuất 2017 tên cá nhân biển hà nội sử dụng, xe gia đình đi ít bảo dưỡng định kỳ nên xe còn cực mới, cam kết xe zin nguyên bản từ đầu ko đâm đụng, ko va quyệt, máy zin nguyên bản ko ra máy ko thuỷ kích hay ngập nước, bao check tes thoả mái trc khi mua bán... | - Xe trang bị full option : Như hai ghế điện, nội thất da bò nguyên bản cực mới, đề nổ, gương đèn auto, màn hình cam lùi, tích hợp vô lăng và còn cực nhiều tính năng an toàn khác theo xe... | - Hỗ trợ vay vốn 60% giá trị xe ! | | | |",https://bonbanh.com/xe-audi-q5-2.0-at-2017-6654739,SUV,Nâu
6469704,Audi,Q7,Audi Q7 45 TFSI Quattro 2025,3340,3 Tỷ 340 Triệu,2025,Xe mới,,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Nguyễn Đức Hưng,0981 738 233,"Số 8 Đường Phạm Hùng, Phường Yên Hòa Hà Nội Xem gian hàng ⇨",,"| | Audi Q7 45TFSI Quattro Plus | | Phiên bản chưa từng xuất hiện tại Việt Nam | Xe nhập khẩu nguyên chiếc mới 100% | Nhiều trang bị option | Mâm 20 inch,Loa B&O ,Apple carplay không dây ,cửa hít,cốp tự động,đèn Matrix LED,Đèn logo Audi ,ghế xếp điện,Đèn nội thất 30 màu,…… | Nhiều màu giao sớm nhất. | Giao xe tận nơi miễn phí,quà tặng theo xe. | Cam kết Giá lăn bánh tốt nhất có thể. | Hãy liên hệ để có thông tin chi tiết về xe và chương trình ưu đãi. | | | |",https://bonbanh.com/xe-audi-q7-45-tfsi-quattro-2025-6469704,SUV,Đen
5865554,Audi,Q7,Audi Q7 45 TFSI Quattro S Line 2025,3999,3 Tỷ 999 Triệu,2025,Xe mới,,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Audi Miền Bắc,0989 731 688,Số 8 Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm Hà Nội,audimienbac.bonbanh.com,"| | ƯU ĐÃI HẤP DẪN khi sở hữu Audi Q7 2026 | | Audi Miền Bắc mới về Audi Q7 Sline 2026 mới nhất | | Trang bị dàn: camera 360 độ, hiển thị thông tin lên kính lái HUD, gói an toàn chủ động Audi Pre-sense Basic có hỗ trợ phanh ngừa va chạm, vô-lăng thiết kế D-Cut, cảnh báo lệch làn đường âm thanh 3D cao cấp gồm 19 loa đến từ thương hiệu Bang & Olufsen, đồng hồ hiển thị sử dụng màn hình kỹ thuật số hoàn toàn với màn hình 12,3 inch... | | Liên hệ ngay Audi Miền Bắc để biết thêm thông tin xe cũng như chương trình ưu đãi tháng này! | | | |",https://bonbanh.com/xe-audi-q7-45-tfsi-quattro-s-line-2025-5865554,SUV,Đen
5817931,Audi,Q7,Audi Q7 45 TFSI Quattro S Line 2024,3790,3 Tỷ 790 Triệu,2024,Xe mới,,Nhập khẩu,Xăng 2.0 L,Số tự động,Đen,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,TP HCM,Audi Tân Bình,0913 472 233,"Lô IV-22 Khu công nghiệp Tân Bình, đường Tây Thạnh, quận Tân Phú TP HCM",auditanbinh.bonbanh.com,"| | Audi Q7 Sline 45TFSI Black Edition | Sx 2024 mới 100% | Phiên bản chưa từng xuất hiện tại Việt Nam | Xe nhập khẩu nguyên chiếc mới 100% | Nhiều trang bị option | Body S-line, mâm S-line 20 inch,Loa B&O ,Apple carplay không dây,sạc không dây,Ghế da S-line ,cửa hít,cốp tự động,đèn matrix ,Camera 3D 360,HUD,Đèn logo Audi ,ghê xếp điện,Đèn nội thất 30 màu,…… | Lô xe đầu tiên giao sớm nhất. | Bảo hành chính hãng 3 năm không giới hạn Km. | | | |",https://bonbanh.com/xe-audi-q7-45-tfsi-quattro-s-line-2024-5817931,SUV,Đen
