Thành_Phố,Quận_Huyện,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,Thanh Khê,2.0,1.0986122886681098,35.0,3.58351893845611,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,2.0,1.0986122886681098,15.0,2.772588722239781,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,1.0,0.6931471805599453,22.0,3.1354942159291497,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,2.2,1.1631508098056809,18.0,2.9444389791664403,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,2.2,1.1631508098056809,27.0,3.332204510175204,0,0,0,0,0,0,1,1,1,1
Đà Nẵng,Cẩm Lệ,2.5,1.252762968495368,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,3.0,1.3862943611198906,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,3.5,1.5040773967762742,26.0,3.295836866004329,1,0,0,0,1,0,0,1,1,1
Đà Nẵng,Hải Châu,2.8,1.33500106673234,20.0,3.044522437723423,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,3.0,1.3862943611198906,20.0,3.044522437723423,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,4.0,1.6094379124341003,36.0,3.6109179126442243,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Sơn Trà,4.5,1.7047480922384253,40.0,3.713572066704308,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,3.0,1.3862943611198906,27.0,3.332204510175204,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,3.2,1.4350845252893227,18.0,2.9444389791664403,0,0,0,0,0,0,0,1,1,1
Đà Nẵng,Sơn Trà,2.7,1.308332819650179,25.0,3.258096538021482,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,5.0,1.791759469228055,40.0,3.713572066704308,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,1.23,0.8020015854720274,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Sơn Trà,1.5,0.9162907318741551,15.0,2.772588722239781,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Cẩm Lệ,1.6,0.9555114450274363,21.0,3.091042453358316,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,3.5,1.5040773967762742,22.0,3.1354942159291497,1,1,0,0,1,1,0,0,0,0
Đà Nẵng,Hải Châu,3.4,1.4816045409242156,23.0,3.1780538303479458,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Sơn Trà,2.5,1.252762968495368,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,5.0,1.791759469228055,50.0,3.9318256327243257,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,2.5,1.252762968495368,40.0,3.713572066704308,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,4.5,1.7047480922384253,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,1.23,0.8020015854720274,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,1.3,0.832909122935104,12.0,2.5649493574615367,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Ngũ Hành Sơn,2.4,1.2237754316221157,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,4.8,1.7578579175523736,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,4.5,1.7047480922384253,35.0,3.58351893845611,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,1.0,0.6931471805599453,50.0,3.9318256327243257,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,3.0,1.3862943611198906,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Ngũ Hành Sơn,3.8,1.5686159179138452,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,2.3,1.1939224684724346,25.0,3.258096538021482,0,1,0,0,0,0,0,1,0,0
Đà Nẵng,Liên Chiểu,2.8,1.33500106673234,28.0,3.367295829986474,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Cẩm Lệ,4.0,1.6094379124341003,20.0,3.044522437723423,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,1.55,0.9360933591703349,50.0,3.9318256327243257,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,1.9,1.0647107369924282,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Hải Châu,2.0,1.0986122886681098,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,4.0,1.6094379124341003,30.0,3.4339872044851463,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Sơn Trà,3.5,1.5040773967762742,22.0,3.1354942159291497,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,3.0,1.3862943611198906,15.0,2.772588722239781,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,1.0,0.6931471805599453,25.0,3.258096538021482,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Sơn Trà,3.0,1.3862943611198906,18.0,2.9444389791664403,1,0,0,0,1,0,0,0,1,0
Đà Nẵng,Sơn Trà,2.5,1.252762968495368,25.0,3.258096538021482,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,2.5,1.252762968495368,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,2.5,1.252762968495368,16.0,2.833213344056216,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,1.5,0.9162907318741551,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,2.5,1.252762968495368,18.0,2.9444389791664403,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,1.5,0.9162907318741551,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,3.2,1.4350845252893227,34.0,3.5553480614894135,0,0,0,0,0,0,0,1,0,1
Đà Nẵng,Liên Chiểu,2.5,1.252762968495368,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,4.0,1.6094379124341003,35.0,3.58351893845611,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,2.0,1.0986122886681098,25.0,3.258096538021482,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Liên Chiểu,2.8,1.33500106673234,28.0,3.367295829986474,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,4.5,1.7047480922384253,40.0,3.713572066704308,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,0.9,0.6418538861723948,16.0,2.833213344056216,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Ngũ Hành Sơn,3.2,1.4350845252893227,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,1.8,1.0296194171811581,15.0,2.772588722239781,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,2.8,1.33500106673234,20.0,3.044522437723423,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,3.0,1.3862943611198906,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,2.3,1.1939224684724346,21.0,3.091042453358316,1,1,0,0,0,0,1,1,0,0
Đà Nẵng,Liên Chiểu,2.5,1.252762968495368,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,1.5,0.9162907318741551,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Liên Chiểu,2.3,1.1939224684724346,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,2.5,1.252762968495368,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,1.2,0.7884573603642702,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Sơn Trà,3.5,1.5040773967762742,40.0,3.713572066704308,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Hải Châu,2.2,1.1631508098056809,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,1.2,0.7884573603642702,40.0,3.713572066704308,1,1,0,0,0,0,0,0,0,0
Đà Nẵng,Liên Chiểu,1.7,0.9932517730102833,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,3.5,1.5040773967762742,30.0,3.4339872044851463,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,2.8,1.33500106673234,30.0,3.4339872044851463,1,1,0,0,1,0,1,0,1,0
Đà Nẵng,Ngũ Hành Sơn,2.8,1.33500106673234,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,3.3,1.4586150226995167,25.0,3.258096538021482,1,1,0,0,0,1,0,1,0,0
Đà Nẵng,Cẩm Lệ,4.0,1.6094379124341003,22.0,3.1354942159291497,1,1,0,1,1,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,2.3,1.1939224684724346,22.0,3.1354942159291497,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,2.0,1.0986122886681098,25.0,3.258096538021482,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hoà Vang,2.5,1.252762968495368,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,2.5,1.252762968495368,25.0,3.258096538021482,1,1,0,0,0,0,1,1,0,0
Đà Nẵng,Ngũ Hành Sơn,4.6,1.7227665977411035,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,3.0,1.3862943611198906,30.0,3.4339872044851463,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,3.8,1.5686159179138452,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,4.0,1.6094379124341003,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hoà Vang,1.3,0.832909122935104,22.0,3.1354942159291497,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,2.0,1.0986122886681098,25.0,3.258096538021482,0,0,0,0,0,0,1,1,1,0
Đà Nẵng,Sơn Trà,3.0,1.3862943611198906,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,1.5,0.9162907318741551,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Hải Châu,3.0,1.3862943611198906,50.0,3.9318256327243257,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,3.0,1.3862943611198906,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,1.6,0.9555114450274363,25.0,3.258096538021482,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Liên Chiểu,3.0,1.3862943611198906,30.0,3.4339872044851463,0,0,0,0,0,0,1,0,1,0
Đà Nẵng,Cẩm Lệ,1.8,1.0296194171811581,31.0,3.4657359027997265,0,0,0,1,0,0,1,1,0,0
Đà Nẵng,Cẩm Lệ,2.7,1.308332819650179,28.0,3.367295829986474,0,0,1,0,0,0,0,0,1,0
Đà Nẵng,Hải Châu,2.0,1.0986122886681098,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Thanh Khê,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Cẩm Lệ,2.9,1.3609765531356006,20.0,3.044522437723423,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Hải Châu,3.5,1.5040773967762742,40.0,3.713572066704308,0,0,0,0,1,0,0,0,0,0
Đà Nẵng,Cẩm Lệ,3.0,1.3862943611198906,30.0,3.4339872044851463,1,1,0,0,0,0,0,0,0,0
Đà Nẵng,Thanh Khê,2.3,1.1939224684724346,33.0,3.5263605246161616,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,Hải Châu,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Ngũ Hành Sơn,2.5,1.252762968495368,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,Sơn Trà,2.5,1.252762968495368,25.0,3.258096538021482,0,0,0,0,0,0,1,1,1,1
Đà Nẵng,Hải Châu,2.5,1.252762968495368,17.0,2.8903717578961645,1,1,0,0,0,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,3.0,1.3862943611198906,35.0,3.58351893845611,0,0,0,0,0,1,0,0,0,0
Đà Nẵng,Liên Chiểu,0.6,0.4700036292457356,10.0,2.3978952727983707,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Ngũ Hành Sơn,1.2,0.7884573603642702,45.0,3.828641396489095,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Hải Châu,4.5,1.7047480922384253,40.0,3.713572066704308,1,1,0,0,1,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,1.5,0.9162907318741551,23.0,3.1780538303479458,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Sơn Trà,3.0,1.3862943611198906,20.0,3.044522437723423,1,0,0,1,0,0,0,1,0,0
Đà Nẵng,Sơn Trà,4.5,1.7047480922384253,30.0,3.4339872044851463,1,1,1,1,0,0,0,1,0,0
Đà Nẵng,Sơn Trà,2.5,1.252762968495368,20.0,3.044522437723423,0,0,0,0,1,0,0,0,0,0
Đà Nẵng,Thanh Khê,1.2,0.7884573603642702,10.0,2.3978952727983707,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Liên Chiểu,3.5,1.5040773967762742,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Hải Châu,2.5,1.252762968495368,14.0,2.70805020110221,0,0,0,0,0,1,0,0,0,0
Đà Nẵng,Hoà Vang,0.8,0.5877866649021191,10.0,2.3978952727983707,0,0,0,0,0,0,1,0,1,1
Đà Nẵng,Thanh Khê,3.0,1.3862943611198906,30.0,3.4339872044851463,0,0,0,0,0,1,0,0,0,0
Đà Nẵng,Hải Châu,2.2,1.1631508098056809,14.0,2.70805020110221,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Cẩm Lệ,2.1,1.1314021114911006,16.0,2.833213344056216,1,1,0,0,0,0,1,1,0,0
Đà Nẵng,Thanh Khê,2.0,1.0986122886681098,25.0,3.258096538021482,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,Thanh Khê,1.8,1.0296194171811581,25.0,3.258096538021482,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Cẩm Lệ,3.4,1.4816045409242156,30.0,3.4339872044851463,0,0,0,0,1,1,0,0,0,0
Đà Nẵng,Hải Châu,4.0,1.6094379124341003,40.0,3.713572066704308,1,1,0,0,1,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,2.5,1.252762968495368,35.0,3.58351893845611,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Liên Chiểu,2.5,1.252762968495368,40.0,3.713572066704308,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Liên Chiểu,0.8,0.5877866649021191,14.0,2.70805020110221,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Thanh Khê,1.0,0.6931471805599453,12.0,2.5649493574615367,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,Cẩm Lệ,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Hải Châu,2.3,1.1939224684724346,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Hải Châu,2.5,1.252762968495368,35.0,3.58351893845611,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Thanh Khê,1.2,0.7884573603642702,12.0,2.5649493574615367,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Ngũ Hành Sơn,2.5,1.252762968495368,25.0,3.258096538021482,1,1,0,0,0,0,0,0,0,1
Đà Nẵng,Liên Chiểu,1.1,0.7419373447293773,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,1,1
Đà Nẵng,Hải Châu,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Liên Chiểu,1.5,0.9162907318741551,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Thanh Khê,1.5,0.9162907318741551,12.0,2.5649493574615367,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,Thanh Khê,2.7,1.308332819650179,24.0,3.2188758248682006,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Ngũ Hành Sơn,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,1,1,1,0
Đà Nẵng,Ngũ Hành Sơn,2.5,1.252762968495368,22.0,3.1354942159291497,1,1,0,0,0,0,0,1,0,1
Đà Nẵng,Liên Chiểu,0.55,0.4382549309311553,12.0,2.5649493574615367,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Ngũ Hành Sơn,2.7,1.308332819650179,32.0,3.4965075614664802,0,1,1,0,0,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,2.2,1.1631508098056809,20.0,3.044522437723423,1,0,0,0,0,0,1,1,1,1
Đà Nẵng,Liên Chiểu,1.7,0.9932517730102833,20.0,3.044522437723423,0,0,0,0,0,0,0,1,1,1
Đà Nẵng,Thanh Khê,2.5,1.252762968495368,20.0,3.044522437723423,1,0,0,0,0,0,1,1,0,0
Đà Nẵng,Thanh Khê,1.4,0.8754687373538999,13.0,2.6390573296152584,0,0,0,0,0,0,0,1,1,1
Đà Nẵng,Liên Chiểu,1.4,0.8754687373538999,20.0,3.044522437723423,0,0,0,0,0,0,0,0,1,0
Đà Nẵng,Thanh Khê,1.3,0.832909122935104,10.0,2.3978952727983707,0,0,0,0,0,0,0,0,1,1
Đà Nẵng,Ngũ Hành Sơn,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,1,1,0,0,0,0
Đà Nẵng,Thanh Khê,1.5,0.9162907318741551,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,1,1
Đà Nẵng,Hải Châu,1.6,0.9555114450274363,20.0,3.044522437723423,0,0,0,0,1,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,1.9,1.0647107369924282,20.0,3.044522437723423,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Thanh Khê,1.5,0.9162907318741551,12.0,2.5649493574615367,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Hải Châu,2.8,1.33500106673234,25.0,3.258096538021482,0,0,1,0,1,1,0,1,1,1
Đà Nẵng,Liên Chiểu,1.8,1.0296194171811581,15.0,2.772588722239781,0,0,0,0,0,0,1,0,1,1
Đà Nẵng,Cẩm Lệ,3.5,1.5040773967762742,30.0,3.4339872044851463,0,0,1,0,0,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,1.4,0.8754687373538999,20.0,3.044522437723423,0,0,0,0,0,0,0,0,1,1
Đà Nẵng,Sơn Trà,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,Liên Chiểu,2.5,1.252762968495368,45.0,3.828641396489095,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Ngũ Hành Sơn,4.0,1.6094379124341003,25.0,3.258096538021482,0,0,0,0,1,0,0,0,1,0
Đà Nẵng,Cẩm Lệ,3.5,1.5040773967762742,25.0,3.258096538021482,0,0,1,0,0,0,0,0,1,1
Đà Nẵng,Hải Châu,3.7,1.547562508716013,25.0,3.258096538021482,0,0,0,0,1,0,0,0,0,0
Đà Nẵng,Hải Châu,1.9,1.0647107369924282,18.0,2.9444389791664403,0,0,1,0,0,0,0,1,1,1
Đà Nẵng,Hải Châu,2.0,1.0986122886681098,40.0,3.713572066704308,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Hải Châu,3.3,1.4586150226995167,25.0,3.258096538021482,0,0,1,0,1,0,0,0,0,0
Đà Nẵng,Thanh Khê,2.5,1.252762968495368,25.0,3.258096538021482,1,0,0,0,1,0,0,0,0,0
Đà Nẵng,Ngũ Hành Sơn,1.8,1.0296194171811581,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Cẩm Lệ,1.6,0.9555114450274363,20.0,3.044522437723423,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Liên Chiểu,0.75,0.5596157879354227,19.0,2.995732273553991,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Liên Chiểu,2.4,1.2237754316221157,30.0,3.4339872044851463,1,1,0,0,0,1,0,0,0,0
Đà Nẵng,Hải Châu,2.3,1.1939224684724346,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Hải Châu,3.0,1.3862943611198906,25.0,3.258096538021482,0,0,1,0,1,1,0,0,0,0
Đà Nẵng,Liên Chiểu,1.3,0.832909122935104,22.0,3.1354942159291497,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Hải Châu,2.7,1.308332819650179,23.0,3.1780538303479458,1,1,0,0,1,0,0,1,0,0
Đà Nẵng,Liên Chiểu,1.0,0.6931471805599453,18.0,2.9444389791664403,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Hải Châu,2.5,1.252762968495368,25.0,3.258096538021482,1,0,0,0,0,0,1,1,0,0
Đà Nẵng,Cẩm Lệ,1.5,0.9162907318741551,23.0,3.1780538303479458,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,Hải Châu,3.0,1.3862943611198906,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Cẩm Lệ,1.9,1.0647107369924282,20.0,3.044522437723423,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,2.6,1.2809338454620642,30.0,3.4339872044851463,0,0,0,0,0,0,1,0,1,1
Đà Nẵng,Thanh Khê,1.5,0.9162907318741551,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Liên Chiểu,1.8,1.0296194171811581,32.0,3.4965075614664802,1,0,1,0,0,0,0,1,0,0
Đà Nẵng,Sơn Trà,2.5,1.252762968495368,20.0,3.044522437723423,1,1,1,1,1,0,0,1,0,0
Đà Nẵng,Hải Châu,1.6,0.9555114450274363,12.0,2.5649493574615367,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Hải Châu,2.0,1.0986122886681098,45.0,3.828641396489095,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,Sơn Trà,2.0,1.0986122886681098,25.0,3.258096538021482,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Sơn Trà,2.1,1.1314021114911006,22.0,3.1354942159291497,0,0,0,0,0,0,1,1,1,0
Đà Nẵng,Thanh Khê,1.5,0.9162907318741551,25.0,3.258096538021482,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Thanh Khê,1.7,0.9932517730102833,25.0,3.258096538021482,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,Cẩm Lệ,2.1,1.1314021114911006,25.0,3.258096538021482,0,0,0,0,0,0,1,1,1,0
Đà Nẵng,Liên Chiểu,1.7,0.9932517730102833,20.0,3.044522437723423,1,1,0,0,0,0,0,1,1,1
Đà Nẵng,Thanh Khê,3.0,1.3862943611198906,35.0,3.58351893845611,0,1,0,1,0,0,0,1,0,0
Đà Nẵng,Hải Châu,2.3,1.1939224684724346,25.0,3.258096538021482,1,1,0,0,0,0,0,0,0,1
Đà Nẵng,Liên Chiểu,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,Liên Chiểu,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Thanh Khê,2.5,1.252762968495368,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,Cẩm Lệ,2.9,1.3609765531356006,25.0,3.258096538021482,0,0,0,0,1,1,0,0,0,0
Đà Nẵng,Cẩm Lệ,2.5,1.252762968495368,40.0,3.713572066704308,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,Ngũ Hành Sơn,1.1,0.7419373447293773,20.0,3.044522437723423,1,0,0,0,0,0,0,0,0,0
Đà Nẵng,Sơn Trà,1.6,0.9555114450274363,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Hải Châu,2.7,1.308332819650179,30.0,3.4339872044851463,0,0,0,0,0,0,1,1,1,1
